Name,State,County,School_district,Total,pop_spanish,pop_french,pop_slavic,pop_arabic,pop_chinese,pop_korean,pop_unspecified,Eng_only,Eng_only_per,Dual_language,Dual_language_per,Eng_limited_ability,Eng_limited_ability_per,object_id,TARGET_FID,Geographic_Identifier___FIPS_Code,Shape_Length,Shape_Area,pop_indo_european,pop_asian,sch_arabic,sch_chinese,sch_french,sch_indo_european,sch_korean,sch_other,sch_slavic,sch_spanish,sch_asian,sch_unspecified,largest_language,largest_value,largest_per,prop_spanish,prop_french,prop_indo_european,prop_slavic,prop_arabic,prop_chinese,prop_korean,prop_asian,prop_unspecified,most_school,most_value,prop_lower_language_nan,prop_lower_value_nan,prop_major_language_value
Census Tract 210.02,New York,Bronx County,12,6998,1771,17,0,287,50,0,156,3453,49.3,2272,32.5,1273,18.2,140,70121,36005021002,19626.235113582334,11223879.643251844,1179,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,spanish,1771,25.31,118.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,15.0,spanish,118.07,118.07
Census Tract 211,New York,Bronx County,9,6028,3474,210,0,0,0,0,434,1857,30.8,2028,33.6,2143,35.6,141,70122,36005021100,17920.408667786927,13482250.588580897,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,3474,57.63,105.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,105.27,105.27
Census Tract 212,New York,Bronx County,12,4677,1133,14,0,76,0,0,123,1838,39.3,1523,32.6,1316,28.1,142,70123,36005021200,19626.235113582334,11223879.643251844,1296,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,indo_european,1296,27.71,75.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,15.0,spanish,75.53,0.0
Census Tract 213.01,New York,Bronx County,9,1127,759,0,0,0,0,0,236,132,11.7,642,57.0,353,31.3,143,70124,36005021301,17920.408667786927,13482250.588580897,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,759,67.35,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,23.0,23.0
Census Tract 213.02,New York,Bronx County,9,5264,2722,149,0,0,0,0,678,1648,31.3,1568,29.8,2048,38.9,144,70125,36005021302,17920.408667786927,13482250.588580897,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,2722,51.71,82.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,82.48,82.48
Census Tract 215.01,New York,Bronx County,9,4136,2774,0,0,0,57,0,138,1157,28.0,1819,44.0,1160,28.0,145,70126,36005021501,17920.408667786927,13482250.588580897,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,2774,67.07,84.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,84.06,84.06
Census Tract 215.02,New York,Bronx County,9,6576,4248,377,0,0,0,1,74,1876,28.5,2757,41.9,1943,29.5,146,70127,36005021502,17920.408667786927,13482250.588580897,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,4248,64.6,128.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,128.73,128.73
Census Tract 216.01,New York,Bronx County,12,4508,2449,21,6,392,39,0,137,1021,22.6,2036,45.2,1451,32.2,147,70128,36005021601,19626.235113582334,11223879.643251844,435,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,spanish,2449,54.33,163.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,15.0,spanish,163.27,163.27
Census Tract 216.02,New York,Bronx County,12,5935,1374,12,19,0,38,0,410,2372,40.0,2413,40.7,1150,19.4,148,70129,36005021602,19626.235113582334,11223879.643251844,1697,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,indo_european,1697,28.59,91.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,15.0,spanish,91.6,0.0
Census Tract 217,New York,Bronx County,9,4763,1941,101,30,0,3,0,394,2177,45.7,1069,22.4,1517,31.8,149,70130,36005021700,17920.408667786927,13482250.588580897,117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,1941,40.75,58.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,58.82,58.82
Census Tract 218,New York,Bronx County,12,5758,3844,31,9,0,0,0,98,1690,29.4,2771,48.1,1297,22.5,150,70131,36005021800,19626.235113582334,11223879.643251844,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,spanish,3844,66.76,256.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,15.0,spanish,256.27,256.27
Census Tract 219,New York,Bronx County,9,964,556,0,0,0,0,0,0,385,39.9,208,21.6,371,38.5,151,70132,36005021900,17920.408667786927,13482250.588580897,8,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,556,57.68,16.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,16.85,16.85
Census Tract 220,New York,Bronx County,12,1668,932,11,9,23,0,0,133,490,29.4,478,28.7,700,42.0,152,70133,36005022000,19626.235113582334,11223879.643251844,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,spanish,932,55.88,62.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,15.0,spanish,62.13,62.13
Census Tract 221.01,New York,Bronx County,9,3457,2279,0,0,0,0,0,71,991,28.7,1127,32.6,1339,38.7,153,70134,36005022101,17920.408667786927,13482250.588580897,47,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,2279,65.92,69.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,69.06,69.06
Census Tract 221.02,New York,Bronx County,9,5559,4216,87,0,0,0,0,372,854,15.4,2224,40.0,2481,44.6,154,70135,36005022102,17920.408667786927,13482250.588580897,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,spanish,4216,75.84,127.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,33.0,spanish,127.76,127.76
