Name,State,County,School_district,Total,pop_spanish,pop_french,pop_slavic,pop_arabic,pop_chinese,pop_korean,pop_unspecified,Eng_only,Eng_only_per,Dual_language,Dual_language_per,Eng_limited_ability,Eng_limited_ability_per,object_id,TARGET_FID,Geographic_Identifier___FIPS_Code,Shape_Length,Shape_Area,pop_indo_european,pop_asian,sch_arabic,sch_chinese,sch_french,sch_indo_european,sch_korean,sch_other,sch_slavic,sch_spanish,sch_asian,sch_unspecified,largest_language,largest_value,largest_per,prop_spanish,prop_french,prop_indo_european,prop_slavic,prop_arabic,prop_chinese,prop_korean,prop_asian,prop_unspecified,most_school,most_value,prop_lower_language_nan,prop_lower_value_nan,prop_major_language_value
Census Tract 462.05,New York,Bronx County,11,3495,1058,0,0,0,0,0,11,2348,67.2,697,19.9,450,12.9,352,70333,36005046205,122824.91562031551,63948382.84199017,78,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,1058,30.27,1058.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,indo_european,78.0,1058.0
Census Tract 462.06,New York,Bronx County,11,4282,528,15,29,0,25,0,308,3299,77.0,713,16.7,270,6.3,353,70334,36005046206,122824.91562031551,63948382.84199017,0,78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,528,12.33,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,spanish,528.0,528.0
Census Tract 462.07,New York,Bronx County,11,5817,1114,36,0,0,0,0,138,4213,72.4,1306,22.5,298,5.1,354,70335,36005046207,122824.91562031551,63948382.84199017,316,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,1114,19.15,1114.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,indo_european,316.0,1114.0
Census Tract 462.08,New York,Bronx County,11,4662,395,17,10,41,14,0,274,3901,83.7,410,8.8,351,7.5,355,70336,36005046208,122824.91562031551,63948382.84199017,10,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,395,8.47,395.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,indo_european,10.0,395.0
Census Tract 462.09,New York,Bronx County,11,3611,1010,29,0,0,0,0,116,2451,67.9,993,27.5,167,4.6,356,70337,36005046209,122824.91562031551,63948382.84199017,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,1010,27.97,1010.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,indo_european,5.0,1010.0
Census Tract 484.01,New York,Bronx County,11,3892,652,84,28,0,0,0,710,2335,60.0,950,24.4,607,15.6,357,70338,36005048401,122824.91562031551,63948382.84199017,51,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,unspecified,710,18.24,652.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,indo_european,51.0,0.0
Census Tract 484.02,New York,Bronx County,11,0,0,0,0,0,0,0,0,0,,0,,0,,358,70339,36005048402,122824.91562031551,63948382.84199017,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,,,0.0
Census Tract 504,New York,Bronx County,11,0,0,0,0,0,0,0,0,0,,0,,0,,359,70340,36005050400,122824.91562031551,63948382.84199017,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,,,0.0
Census Tract 516.01,New York,Bronx County,11,4244,1031,96,255,0,18,0,137,2586,60.9,1343,31.6,315,7.4,360,70341,36005051601,122824.91562031551,63948382.84199017,78,43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,1031,24.29,1031.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,indo_european,78.0,1031.0
Census Tract 516.02,New York,Bronx County,11,0,0,0,0,0,0,0,0,0,,0,,0,,361,70342,36005051602,122824.91562031551,63948382.84199017,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indo_european,1.0,,,0.0
Census Tract 1,New York,Kings County,13,4654,184,65,335,0,94,13,11,3887,83.5,427,9.2,340,7.3,362,71086,36047000100,34568.56308639238,16960197.7908476,53,12,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,slavic,335,7.2,36.8,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,21.67,0.0
Census Tract 2,New York,Kings County,15,1128,639,0,0,86,18,0,0,346,30.7,296,26.2,486,43.1,363,71087,36047000200,61683.634535801226,31703832.805280484,39,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,639,56.65,30.43,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,spanish,21.0,chinese,3.0,30.43
Census Tract 3.01,New York,Kings County,13,3641,166,46,48,120,103,6,0,3072,84.4,492,13.5,77,2.1,364,71088,36047000301,34568.56308639238,16960197.7908476,80,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,166,4.56,33.2,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,15.33,33.2
Census Tract 5.01,New York,Kings County,13,4303,174,100,106,0,259,9,17,3560,82.7,443,10.3,300,7.0,365,71089,36047000501,34568.56308639238,16960197.7908476,42,36,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,259,6.02,34.8,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,33.33,0.0
Census Tract 5.02,New York,Kings County,13,2522,42,29,4,0,145,48,5,2154,85.4,287,11.4,81,3.2,366,71090,36047000502,34568.56308639238,16960197.7908476,35,60,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,145,5.75,8.4,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,spanish,8.4,0.0
Census Tract 7,New York,Kings County,13,3622,77,70,17,52,138,46,84,3045,84.1,525,14.5,52,1.4,367,71091,36047000700,34568.56308639238,16960197.7908476,62,31,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,138,3.81,15.4,23.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,spanish,15.4,0.0
Census Tract 9,New York,Kings County,13,4286,109,340,70,0,133,97,0,3392,79.1,794,18.5,100,2.3,368,71092,36047000900,34568.56308639238,16960197.7908476,138,7,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,french,340,7.93,21.8,113.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,spanish,21.8,113.33
Census Tract 11,New York,Kings County,13,1492,141,12,46,5,64,61,12,1100,73.7,372,24.9,20,1.3,369,71093,36047001100,34568.56308639238,16960197.7908476,40,11,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,141,9.45,28.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,4.0,28.2
Census Tract 13,New York,Kings County,13,2336,69,23,47,0,172,10,0,1956,83.7,240,10.3,140,6.0,370,71094,36047001300,34568.56308639238,16960197.7908476,59,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,172,7.36,13.8,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,7.67,0.0
Census Tract 15.01,New York,Kings County,13,4557,690,42,73,0,488,17,26,2978,65.4,921,20.2,658,14.4,371,71095,36047001501,34568.56308639238,16960197.7908476,137,106,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,690,15.14,138.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,14.0,138.0
Census Tract 15.02,New York,Kings County,13,5204,702,181,147,35,662,269,73,2804,53.9,2035,39.1,365,7.0,372,71096,36047001502,34568.56308639238,16960197.7908476,215,116,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,702,13.49,140.4,60.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,60.33,140.4
Census Tract 18.01,New York,Kings County,15,1564,400,0,0,22,11,0,42,1078,68.9,202,12.9,284,18.2,373,71097,36047001801,61683.634535801226,31703832.805280484,0,11,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,400,25.58,19.05,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,spanish,21.0,chinese,1.83,19.05
Census Tract 18.02,New York,Kings County,15,0,0,0,0,0,0,0,0,0,,0,,0,,374,71098,36047001802,61683.634535801226,31703832.805280484,0,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,21.0,,,0.0
Census Tract 18.03,New York,Kings County,20,6,0,0,0,0,0,0,0,5,83.3,1,16.7,0,0.0,375,71099,36047001803,37895.6101190241,39185569.446169086,1,0,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,indo_european,1,16.67,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,chinese,20.0,indo_european,0.5,0.5
Census Tract 18.04,New York,Kings County,20,0,0,0,0,0,0,0,0,0,,0,,0,,376,71100,36047001804,37895.6101190241,39185569.446169086,0,0,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chinese,20.0,,,0.0
Census Tract 20,New York,Kings County,20,1740,1234,0,0,0,34,0,0,419,24.1,371,21.3,950,54.6,377,71101,36047002000,37895.6101190241,39185569.446169086,4,49,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,1234,70.92,102.83,0.0,2.0,0.0,0.0,1.7,0.0,0.0,0.0,chinese,20.0,chinese,1.7,102.83
Census Tract 21,New York,Kings County,13,5567,200,297,366,0,445,20,0,3759,67.5,1621,29.1,187,3.4,378,71102,36047002100,34568.56308639238,16960197.7908476,401,79,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,445,7.99,40.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,spanish,40.0,0.0
Census Tract 22,New York,Kings County,20,3793,2057,0,260,189,445,0,0,771,20.3,1026,27.0,1996,52.6,379,71103,36047002200,37895.6101190241,39185569.446169086,59,12,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,2057,54.23,171.42,0.0,29.5,260.0,94.5,22.25,0.0,0.0,0.0,chinese,20.0,chinese,22.25,171.42
Census Tract 23,New York,Kings County,13,3599,692,0,0,0,578,0,0,2314,64.3,428,11.9,857,23.8,380,71104,36047002300,34568.56308639238,16960197.7908476,0,15,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,692,19.23,138.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,spanish,138.4,138.4
Census Tract 29.01,New York,Kings County,13,3325,321,79,0,0,586,0,71,2252,67.7,444,13.4,629,18.9,381,71105,36047002901,34568.56308639238,16960197.7908476,16,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,586,17.62,64.2,26.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,26.33,0.0
Census Tract 30,New York,Kings County,20,1761,114,39,217,19,271,28,4,772,43.8,560,31.8,429,24.4,382,71106,36047003000,37895.6101190241,39185569.446169086,251,46,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,chinese,271,15.39,9.5,0.0,125.5,217.0,9.5,13.55,0.0,0.0,0.0,chinese,20.0,spanish,9.5,13.55
Census Tract 31.01,New York,Kings County,13,3330,176,132,46,18,213,43,47,2420,72.7,688,20.7,222,6.7,383,71107,36047003101,34568.56308639238,16960197.7908476,125,110,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,213,6.4,35.2,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,spanish,35.2,0.0
Census Tract 31.02,New York,Kings County,13,0,0,0,0,0,0,0,0,0,,0,,0,,384,71108,36047003102,34568.56308639238,16960197.7908476,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,,,0.0
Census Tract 33,New York,Kings County,13,3890,416,49,20,0,167,15,144,2845,73.1,832,21.4,213,5.5,385,71109,36047003300,34568.56308639238,16960197.7908476,173,61,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,416,10.69,83.2,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,16.33,83.2
Census Tract 34,New York,Kings County,20,3176,511,0,55,366,395,0,86,1586,49.9,888,28.0,702,22.1,386,71110,36047003400,37895.6101190241,39185569.446169086,168,9,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,511,16.09,42.58,0.0,84.0,55.0,183.0,19.75,0.0,0.0,0.0,chinese,20.0,chinese,19.75,42.58
Census Tract 35,New York,Kings County,13,1997,202,76,37,0,44,9,7,1510,75.6,362,18.1,125,6.3,387,71111,36047003500,34568.56308639238,16960197.7908476,88,24,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,202,10.12,40.4,25.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,25.33,40.4
Census Tract 36,New York,Kings County,20,3517,270,22,379,229,411,32,0,1962,55.8,768,21.8,787,22.4,388,71112,36047003600,37895.6101190241,39185569.446169086,77,135,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,chinese,411,11.69,22.5,0.0,38.5,379.0,114.5,20.55,0.0,0.0,0.0,chinese,20.0,chinese,20.55,20.55
Census Tract 37,New York,Kings County,13,3912,117,16,125,0,427,172,129,2558,65.4,1136,29.0,218,5.6,389,71113,36047003700,34568.56308639238,16960197.7908476,312,56,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,chinese,427,10.92,23.4,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,5.33,0.0
Census Tract 38,New York,Kings County,20,1507,106,0,78,66,196,0,0,828,54.9,392,26.0,287,19.0,390,71114,36047003800,37895.6101190241,39185569.446169086,145,88,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,chinese,196,13.01,8.83,0.0,72.5,78.0,33.0,9.8,0.0,0.0,0.0,chinese,20.0,spanish,8.83,9.8
Census Tract 39,New York,Kings County,15,2256,310,51,46,46,7,7,28,1641,72.7,418,18.5,197,8.7,391,71115,36047003900,61683.634535801226,31703832.805280484,102,18,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,310,13.74,14.76,25.5,0.0,0.0,0.0,1.17,0.0,0.0,0.0,spanish,21.0,chinese,1.17,14.76
Census Tract 41,New York,Kings County,15,3121,184,111,28,10,32,66,0,2523,80.8,542,17.4,56,1.8,392,71116,36047004100,61683.634535801226,31703832.805280484,166,1,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,184,5.9,8.76,55.5,0.0,0.0,0.0,5.33,0.0,0.0,0.0,spanish,21.0,chinese,5.33,8.76
Census Tract 43,New York,Kings County,15,3721,477,28,9,64,5,33,21,2900,77.9,728,19.6,93,2.5,393,71117,36047004300,61683.634535801226,31703832.805280484,100,84,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,477,12.82,22.71,14.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,spanish,21.0,chinese,0.83,22.71
Census Tract 44,New York,Kings County,20,2203,86,43,120,117,40,0,0,1680,76.3,417,18.9,106,4.8,394,71118,36047004400,37895.6101190241,39185569.446169086,112,5,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,slavic,120,5.45,7.17,0.0,56.0,120.0,58.5,2.0,0.0,0.0,0.0,chinese,20.0,chinese,2.0,120.0
Census Tract 45,New York,Kings County,13,3314,222,61,107,155,51,12,22,2383,71.9,839,25.3,92,2.8,395,71119,36047004500,34568.56308639238,16960197.7908476,264,37,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,indo_european,264,7.97,44.4,20.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,20.33,0.0
Census Tract 46,New York,Kings County,20,1127,50,8,74,77,73,0,0,681,60.4,272,24.1,174,15.4,396,71120,36047004600,37895.6101190241,39185569.446169086,164,0,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,indo_european,164,14.55,4.17,0.0,82.0,74.0,38.5,3.65,0.0,0.0,0.0,chinese,20.0,chinese,3.65,82.0
Census Tract 47,New York,Kings County,13,1881,188,122,0,24,43,12,0,1402,74.5,377,20.0,102,5.4,397,71121,36047004700,34568.56308639238,16960197.7908476,48,42,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,188,9.99,37.6,40.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,spanish,37.6,37.6
Census Tract 49,New York,Kings County,13,2692,172,100,59,0,9,0,0,2203,81.8,388,14.4,101,3.8,398,71122,36047004900,34568.56308639238,16960197.7908476,140,9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,spanish,172,6.39,34.4,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,5.0,french,33.33,34.4
Census Tract 50,New York,Kings County,20,2513,114,32,37,228,185,0,36,1682,66.9,576,22.9,255,10.1,399,71123,36047005000,37895.6101190241,39185569.446169086,199,0,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,arabic,228,9.07,9.5,0.0,99.5,37.0,114.0,9.25,0.0,0.0,0.0,chinese,20.0,chinese,9.25,114.0
Census Tract 51,New York,Kings County,15,2177,39,34,10,13,18,0,32,1971,90.5,151,6.9,55,2.5,400,71124,36047005100,61683.634535801226,31703832.805280484,28,32,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,39,1.79,1.86,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,spanish,21.0,spanish,1.86,1.86
Census Tract 52.01,New York,Kings County,20,1682,122,0,223,0,172,21,65,850,50.5,381,22.7,451,26.8,401,71125,36047005201,37895.6101190241,39185569.446169086,170,59,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,slavic,223,13.26,10.17,0.0,85.0,223.0,0.0,8.6,0.0,0.0,0.0,chinese,20.0,chinese,8.6,223.0
Census Tract 52.02,New York,Kings County,20,2574,118,59,265,38,6,20,17,1787,69.4,504,19.6,283,11.0,402,71126,36047005202,37895.6101190241,39185569.446169086,254,10,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,slavic,265,10.3,9.83,0.0,127.0,265.0,19.0,0.3,0.0,0.0,0.0,chinese,20.0,chinese,0.3,265.0
Census Tract 53.01,New York,Kings County,15,2120,229,36,40,164,54,0,4,1521,71.7,448,21.1,151,7.1,403,71127,36047005301,61683.634535801226,31703832.805280484,51,21,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,229,10.8,10.9,18.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,spanish,21.0,chinese,9.0,10.9
Census Tract 53.02,New York,Kings County,15,95,0,0,0,0,0,0,0,90,94.7,5,5.3,0,0.0,404,71128,36047005302,61683.634535801226,31703832.805280484,5,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,indo_european,5,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,21.0,,,0.0
Census Tract 53.03,New York,Kings County,15,52,13,0,0,0,0,0,0,39,75.0,13,25.0,0,0.0,405,71129,36047005303,61683.634535801226,31703832.805280484,0,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,13,25.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,21.0,spanish,0.62,0.62
Census Tract 54,New York,Kings County,20,3187,328,8,243,126,237,0,11,1842,57.8,935,29.3,410,12.9,406,71130,36047005400,37895.6101190241,39185569.446169086,224,168,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,328,10.29,27.33,0.0,112.0,243.0,63.0,11.85,0.0,0.0,0.0,chinese,20.0,chinese,11.85,27.33
Census Tract 56.01,New York,Kings County,20,2712,250,0,109,251,120,0,0,1877,69.2,587,21.6,248,9.1,407,71131,36047005601,37895.6101190241,39185569.446169086,65,40,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,arabic,251,9.26,20.83,0.0,32.5,109.0,125.5,6.0,0.0,0.0,0.0,chinese,20.0,chinese,6.0,125.5
Census Tract 56.02,New York,Kings County,20,1694,164,6,171,7,83,7,40,1088,64.2,517,30.5,89,5.3,408,71132,36047005602,37895.6101190241,39185569.446169086,85,43,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,slavic,171,10.09,13.67,0.0,42.5,171.0,3.5,4.15,0.0,0.0,0.0,chinese,20.0,arabic,3.5,171.0
Census Tract 58,New York,Kings County,20,2921,277,16,188,310,104,24,39,1528,52.3,920,31.5,473,16.2,409,71133,36047005800,37895.6101190241,39185569.446169086,403,32,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,indo_european,403,13.8,23.08,0.0,201.5,188.0,155.0,5.2,0.0,0.0,0.0,chinese,20.0,chinese,5.2,201.5
Census Tract 59,New York,Kings County,15,1421,195,0,0,58,24,0,0,1103,77.6,251,17.7,67,4.7,410,71134,36047005900,61683.634535801226,31703832.805280484,41,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,195,13.72,9.29,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,spanish,21.0,chinese,4.0,9.29
Census Tract 60,New York,Kings County,20,2785,708,0,224,379,58,37,14,1174,42.2,838,30.1,773,27.8,411,71135,36047006000,37895.6101190241,39185569.446169086,100,91,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,708,25.42,59.0,0.0,50.0,224.0,189.5,2.9,0.0,0.0,0.0,chinese,20.0,chinese,2.9,59.0
Census Tract 62,New York,Kings County,20,2618,503,0,150,427,65,11,0,1135,43.4,803,30.7,680,26.0,412,71136,36047006200,37895.6101190241,39185569.446169086,327,0,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,503,19.21,41.92,0.0,163.5,150.0,213.5,3.25,0.0,0.0,0.0,chinese,20.0,chinese,3.25,41.92
Census Tract 63,New York,Kings County,15,1878,148,49,30,0,24,0,36,1510,80.4,326,17.4,42,2.2,413,71137,36047006300,61683.634535801226,31703832.805280484,54,27,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,148,7.88,7.05,24.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,spanish,21.0,chinese,4.0,7.05
Census Tract 64,New York,Kings County,20,3307,232,49,137,404,134,7,0,2061,62.3,713,21.6,533,16.1,414,71138,36047006400,37895.6101190241,39185569.446169086,271,12,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,arabic,404,12.22,19.33,0.0,135.5,137.0,202.0,6.7,0.0,0.0,0.0,chinese,20.0,chinese,6.7,202.0
Census Tract 65,New York,Kings County,15,5858,295,276,1,56,0,0,25,4769,81.4,801,13.7,288,4.9,415,71139,36047006500,61683.634535801226,31703832.805280484,397,39,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,indo_european,397,6.78,14.05,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spanish,21.0,spanish,14.05,0.0
Census Tract 66,New York,Kings County,20,3985,769,8,315,522,194,67,0,1896,47.6,1249,31.3,840,21.1,416,71140,36047006600,37895.6101190241,39185569.446169086,125,89,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,769,19.3,64.08,0.0,62.5,315.0,261.0,9.7,0.0,0.0,0.0,chinese,20.0,chinese,9.7,64.08
Census Tract 67,New York,Kings County,15,3372,128,35,52,16,27,0,58,2869,85.1,377,11.2,126,3.7,417,71141,36047006700,61683.634535801226,31703832.805280484,187,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,indo_european,187,5.55,6.1,17.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,spanish,21.0,chinese,4.5,0.0
Census Tract 68,New York,Kings County,20,3794,725,9,176,638,446,0,0,1563,41.2,1256,33.1,975,25.7,418,71142,36047006800,37895.6101190241,39185569.446169086,194,43,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,725,19.11,60.42,0.0,97.0,176.0,319.0,22.3,0.0,0.0,0.0,chinese,20.0,chinese,22.3,60.42
Census Tract 69.01,New York,Kings County,15,1607,30,18,0,11,5,0,18,1441,89.7,127,7.9,39,2.4,419,71143,36047006901,61683.634535801226,31703832.805280484,58,26,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,indo_european,58,3.61,1.43,9.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,spanish,21.0,chinese,0.83,0.0
Census Tract 69.02,New York,Kings County,15,1837,87,147,0,11,32,5,0,1471,80.1,324,17.6,42,2.3,420,71144,36047006902,61683.634535801226,31703832.805280484,61,23,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,french,147,8.0,4.14,73.5,0.0,0.0,0.0,5.33,0.0,0.0,0.0,spanish,21.0,spanish,4.14,73.5
Census Tract 70,New York,Kings County,20,2604,505,0,527,72,39,7,0,1359,52.2,540,20.7,705,27.1,421,71145,36047007000,37895.6101190241,39185569.446169086,40,55,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,slavic,527,20.24,42.08,0.0,20.0,527.0,36.0,1.95,0.0,0.0,0.0,chinese,20.0,chinese,1.95,527.0
Census Tract 71,New York,Kings County,15,4007,768,403,0,26,258,0,27,2278,56.9,1200,29.9,529,13.2,422,71146,36047007100,61683.634535801226,31703832.805280484,164,83,0.0,6.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,spanish,768,19.17,36.57,201.5,0.0,0.0,0.0,43.0,0.0,0.0,0.0,spanish,21.0,spanish,36.57,36.57
Census Tract 72,New York,Kings County,20,1802,1114,0,0,0,301,0,0,356,19.8,378,21.0,1068,59.3,423,71147,36047007200,37895.6101190241,39185569.446169086,27,4,2.0,20.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,spanish,1114,61.82,92.83,0.0,13.5,0.0,0.0,15.05,0.0,0.0,0.0,chinese,20.0,indo_european,13.5,92.83
